,Name,Address,City,State,Website
174,Belfry Brewing Co,791 N Main St 86326,Cottonwood,AZ,http://www.belfrybrewery.com
175,BJ’s Restaurant & Brewhouse,3155 W Chandler Blvd 85226,Chandler,AZ,http://www.bjsrestaurants.com/locations/az/chandler/
176,Black Bridge Brewery,421 E Beale St 86401,Kingman,AZ,http://www.blackbridgebrewery.com/
177,Black Horse Brewery,1058 Burton Rd 85901,Show Low,AZ,
178,Blackrock Brewers,1664 S Research Loop - Suite 200 85710,Tucson,AZ,http://blackrockbrewers.com
179,Bone Haus Brewing Co,14825 E Shea Blvd - #101 85268,Fountain Hills,AZ,http://www.bonehausbrewing.com
180,Button Brew House,6800 N Camino Martin - Suite 160 85741,Marana,AZ,http://buttonbrewhouse.com
181,Casa Arriba Brewing Co (Arriba Mexican Grill),17211 N 79th St 85308,Glendale,AZ,http://www.arribamexicangrill.com/
182,Casa Arriba Brewing Co (Arriba Mexican Grill),4649 E Chandler Blvd 85048,Phoenix,AZ,http://www.arribamexicangrill.com/
183,Catalina Brewing Co,6918 N Camino Martin - Suite 120 85741,Tucson,AZ,http://www.catalinabrewingco.com/
184,College Street Brewhouse & Pub,1940 College Dr 86403,Lake Havasu City,AZ,http://www.collegestreetbrewhouseandpub.com/
185,Copper Brothel Brewery,3112 Hwy 83 85637,Sonoita,AZ,http://www.copperbrothelbrewery.com
186,Copper Hop Ranch & Microbrewery,2330 Hwy 83 85611,Elgin,AZ,https://copperhopranch.com
187,Copper Mine Brewing Co,3455 S Palo Verde Rd 85713,Tucson,AZ,https://www.copperminebrewing.com
188,Crooked Tooth Brewing Co,228 E 6th St 85705,Tucson,AZ,https://www.facebook.com/crookedtoothbrewery
189,Dark Sky Brewing Co,117-A   N Beaver St 86001,Flagstaff,AZ,http://www.darkskybrewing.com/
190,Desert Eagle Brewing Co – CLOSED 2022,150 W Main St 85201,Mesa,AZ,
191,Desert Monks Brewing Co,1040 S Gilbert Rd - 101 85296,Gilbert,AZ,http://www.desertmonksbrewing.com
192,Dillinger Brewing Co,3895 Oracle Rd 85705,Tucson,AZ,https://www.dillingerbrewing.com
193,Dragoon Brewing Co,1859 W Grant Rd  - #111 85745,Tucson,AZ,http://www.dragoonbrewing.com/
194,Edge of the World Brewery,70 N Central St 86021,Colorado City,AZ,http://edgeoftheworld.bar
195,Electric Brewing and Bisbee Soda Works,1326-B W Hwy 92 85603,Bisbee,AZ,http://www.facebook.com/Electric.Brewing.Bisbee
196,Fate Brewing Co,1312 N Scottsdale Rd 85257,Scottsdale,AZ,https://www.facebook.com/fatebrewingsouthscottsdale/
197,Fire and Fury Brewing Co,13831 N 32nd St  Suite 32 85032,Phoenix,AZ,http://www.facebook.com/fireandfurybrewing
198,Flagstaff Brewing Co,16 E Rte 66 86004,Flagstaff,AZ,http://www.flagbrew.com/
199,Flying Bassett Brewing Co,720 W Ray Rd 85233,Gilbert,AZ,http://flyingbassetbrewing.com
200,Four Peaks Brewing Co  (AB-InBev),2401 S Wilson St 85282,Tempe,AZ,http://www.fourpeaks.com/
201,Four Peaks Brewing Co (AB-InBev),1340 E 8th St 85281,Tempe,AZ,http://www.fourpeaks.com/
202,Four Peaks Brewing Co (AB/InBev),2401 S Wilson St 85282,Tempe,AZ,http://www.fourpeaks.com
