,Medal,Beer Name,Brewery,City,State,Category,Year
116,Bronze,Sugar Moon,Hobbs Tavern & Brewing Co.,Ossipee,NH,Experimental Wood-Aged Beer,2023
117,Gold,Velvet ESB,Hopworks Urban Brewery,Portland,OR,Extra Special Bitter,2023
118,Silver,Railhead Red,Lumberyard Brewing Co. – Taproom & Grille,Flagstaff,AZ,Extra Special Bitter,2023
119,Bronze,Hooks & Dun,Wren House Brewing Co.,Phoenix,AZ,Extra Special Bitter,2023
120,Gold,King of Carrot Flowers,Ratio Beerworks,Denver,CO,Field Beer,2023
121,Silver,Cucumber Crush,10 Barrel Brewing Co.,Bend,OR,Field Beer,2023
122,Bronze,Heart Island,Grand Fir Brewing,Portland,OR,Field Beer,2023
123,Gold,Guava Cart,Golden Road Brewing – Huntington Harbour,Huntington Beach,CA,Fruit Wheat Beer,2023
124,Silver,Inclusion Criteria,Relative Risk Brewing Co.,Penn Yan,NY,Fruit Wheat Beer,2023
125,Bronze,Tuava Guava,Laguna Beach Beer Co.,Rancho Santa Margarita,CA,Fruit Wheat Beer,2023
126,Gold,Huckleberry pHin Sour,Lost Winds Brewing Co.,San Clemente,CA,Fruited American Sour AleCategory Sponsor: Amoretti,2023
127,Silver,Poggers,Immersion Brewing,Bend,OR,Fruited American Sour AleCategory Sponsor: Amoretti,2023
128,Bronze,Fistful of Gummies,Second Chance Beer Co.,San Diego,CA,Fruited American Sour AleCategory Sponsor: Amoretti,2023
129,Gold,I Don’t Want to Wait,1840 Brewing Co.,Milwaukee,WI,Fruited Wood- and Barrel-Aged Sour BeerCategory Sponsor: Bierfrucht,2023
130,Silver,Passionfruit on Acid,Blue Mountain Barrel House,Arrington,VA,Fruited Wood- and Barrel-Aged Sour BeerCategory Sponsor: Bierfrucht,2023
131,Bronze,Spring Reverb,HiDef Brewing Co.,Los Angeles,CA,Fruited Wood- and Barrel-Aged Sour BeerCategory Sponsor: Bierfrucht,2023
132,Gold,Goodnight Munich,Liquid Gravity Brewing Co.,San Luis Obispo,CA,German Dark Lager,2023
133,Silver,Wunder Bier,Red Leg Brewing Co.,Colorado Springs,CO,German Dark Lager,2023
134,Bronze,Black Hill,Silver Reef Brewing Co.,Saint George,UT,German Dark Lager,2023
135,Gold,Riviera,10 Barrel Brewing Co. – Bend Pub,Bend,OR,German Sour Ale,2023
136,Silver,Restless Seas Gose,Narrow Path Brewing Co.,Loveland,OH,German Sour Ale,2023
137,Bronze,Athena,Creature Comforts – Production Facility At Southern Mill,Athens,GA,German Sour Ale,2023
138,Gold,Alpenglow,Fat Head’s Brewery,Middleburg Heights,OH,German Wheat Ale,2023
139,Silver,Weizenheimer,Grains of Wrath PDX,Portland,OR,German Wheat Ale,2023
140,Bronze,Der Hexenmeister,Magnanimous Brewing – Bradenton,Bradenton,FL,German Wheat Ale,2023
141,Gold,Alt 140,Sew Hop’d Brewery,Huntley,IL,German-Style Altbier,2023
142,Silver,Altbier,Four Generals Brewing,Renton,WA,German-Style Altbier,2023
143,Bronze,BierKraft Altbier,BierKraft,McAlester,OK,German-Style Altbier,2023
144,Gold,Execrator,Resolute Brewing Co.,Centennial,CO,German-Style Doppelbock or Eisbock,2023
145,Silver,Co-Munichator,Deschutes Brewery & Public House,Portland,OR,German-Style Doppelbock or Eisbock,2023
146,Bronze,Activator,Wallenpaupack Brewing Co.,Hawley,PA,German-Style Doppelbock or Eisbock,2023
147,Gold,Kodiak Kolsch,Bear Chase Brewing Co.,Bluemont,VA,German-Style KoelschCategory Sponsor: Wyeast Laboratories,2023
148,Silver,Rise & Climb,New Terrain Brewing Co.,Golden,CO,German-Style KoelschCategory Sponsor: Wyeast Laboratories,2023
149,Bronze,Cruzer,Real Ale Brewing Co.,Blanco,TX,German-Style KoelschCategory Sponsor: Wyeast Laboratories,2023
150,Gold,Seedstock Maerzen,Seedstock Brewery,Denver,CO,German-Style Maerzen,2023
151,Silver,Festbier,Big Grove Brewery & Taproom,Iowa City,IA,German-Style Maerzen,2023
152,Bronze,Oktoberfest,Golden Road Brewing – Los Angeles,Los Angeles,CA,German-Style Maerzen,2023
153,Gold,Prodigal Pils,Lazarus Brewing Co. – Laz 2,Austin,TX,German-Style PilsenerCategory Sponsor: Tripleseat,2023
154,Silver,Prost Pilsner,Prost Brewing Co.,Denver,CO,German-Style PilsenerCategory Sponsor: Tripleseat,2023
155,Bronze,Don’t Fear The Answer,Tenma Beer Project,Oakland,CA,German-Style PilsenerCategory Sponsor: Tripleseat,2023
156,Gold,It Came From The Haze,Ghostfish Brewing Co.,Seattle,WA,Gluten-Free Beer,2023
157,Silver,Lander Lager,Ghostfish Brewing Co.,Seattle,WA,Gluten-Free Beer,2023
158,Bronze,Scarlet Sunset,Buck Wild Brewing,Oakland,CA,Gluten-Free Beer,2023
159,Gold,Fancy Lawnmower Beer,Saint Arnold Brewing Co.,Houston,TX,Golden or Blonde Ale,2023
160,Silver,Sunlight Cream Ale,Sun King Brewery,Indianapolis,IN,Golden or Blonde Ale,2023
161,Bronze,Basecamp Blonde,Hutton & Smith Brewing Co. – Production Facility,Chattanooga,TN,Golden or Blonde Ale,2023
162,Gold,Chai Eye Captain,Third Eye Brewing Co.,Sharonville,OH,Herb and Spice Beer,2023
163,Silver,Hibiscus Lime Shandy,Figueroa Mountain Brewing Co. – Santa Barbara,Santa Barbara,CA,Herb and Spice Beer,2023
164,Bronze,Kha Point,Pathlight Brewing,Shawnee,KS,Herb and Spice Beer,2023
165,Gold,IZOLA Kvass,East Village Brewing Co.,San Diego,CA,Historical Beer,2023
166,Silver,Derby Day,Roadmap Brewing Co.,San Antonio,TX,Historical Beer,2023
167,Bronze,Grodziskie,Sketchbook Brewing Co.,Skokie,IL,Historical Beer,2023
168,Gold,Smashing Honey Blonde,Hoppin’ Frog Brewing,Akron,OH,Honey Beer,2023
169,Silver,Jetty,Great South Bay Brewery,Bay Shore,NY,Honey Beer,2023
170,Bronze,Valhallale,Coney Island Brewing Co.,Brooklyn,NY,Honey Beer,2023
171,Gold,Triple IPA,Claremont Craft Ales,Claremont,CA,Imperial India Pale AleCategory Sponsor: Wyeast Laboratories,2023
172,Silver,Drama King,Liquid Gravity Brewing Co.,San Luis Obispo,CA,Imperial India Pale AleCategory Sponsor: Wyeast Laboratories,2023
173,Bronze,Double MO7,Del Cielo Brewing Co.,Martinez,CA,Imperial India Pale AleCategory Sponsor: Wyeast Laboratories,2023
174,Gold,Gatling Gun,BNS Brewing & Distilling Co.,Santee,CA,Imperial Stout,2023
175,Silver,Big Deluxe,Ritual Brewing Co.,Redlands,CA,Imperial Stout,2023
176,Bronze,Postcard from St. Petersburg,Bartlett Hall,San Francisco,CA,Imperial Stout,2023
177,Gold,Sound Sail,MadeWest Brewing Co.,Ventura,CA,India Pale Lager or Cold India Pale Ale,2023
178,Silver,Orizaba Cold IPA,Cheluna Brewing Co.,Aurora,CO,India Pale Lager or Cold India Pale Ale,2023
179,Bronze,Zero Degrees,Shred Beer Co.,Rocklin,CA,India Pale Lager or Cold India Pale Ale,2023
180,Gold,Midnight Trucker,Rock Solid Brewing Co.,Ball Ground,GA,International Dark Lager,2023
181,Silver,Tmavé,Copper Furrow Brewing,Helena,MT,International Dark Lager,2023
182,Bronze,Flek Me?? No Flek Ů!!,Brieux Carré Brewing Co.,New Orleans,LA,International Dark Lager,2023
183,Gold,Hand of Josh,Highland Park Brewery – Chinatown,Los Angeles,CA,International-Style Pale Ale,2023
184,Silver,Carlsbad Crush,Burgeon Beer Co.,Carlsbad,CA,International-Style Pale Ale,2023
185,Bronze,Extra Pale Ale,Firestone Walker Brewing Co. – The Propagator,Marina del Rey,CA,International-Style Pale Ale,2023
